Hardness,SGBP,g3,Name,Hvapor
0.289335,637.06127,148.1919051,4-Chlorobiphenyl,71.6
0.335502,740.609,164.1925843,"2,2prime-Dichlorobiphenyl",72.6
0.318685,740.59158,164.6415871,"2,3-Dichlorobiphenyl",73.4
0.308859,637.09491,169.0205792,3-Chlorobiphenyl,74.3
0.311422,740.63601,165.6496185,"2,4-Dichlorobiphenyl",75.4
0.310096,740.63179,165.9752906,"2,4prime-Dichlorobiphenyl",76.5
0.315586,740.63454,167.8778325,"2,3prime-Dichlorobiphenyl",77.8
0.328837,947.60383,167.9463202,"2,2prime,6,6prime-Tetrachlorobiphenyl",79.4
0.300158,740.61529,170.535367,"3,4-Dichlorobiphenyl",79.5
0.326144,844.12292,164.2199363,"2,2prime,3-Trichlorobiphenyl",79.9
0.319932,844.17104,164.435106,"2,2prime,5-Trichlorobiphenyl",80.2
0.319817,947.62832,165.5896906,"2,2prime,3,6-Tetrachlorobiphenyl",80.5
0.304095,740.65414,152.9047235,"3,3prime-Dichlorobiphenyl",81.0
0.328725,844.11483,163.8863863,"2,2prime,6-Trichlorobiphenyl",81.0
0.308782,844.14925,166.398345,"2,3,4prime-Trichlorobiphenyl",81.0
0.323273,947.67806,165.444819,"2,2prime,4,6-Tetrachlorobiphenyl",81.2
0.294904,740.65411,152.499661,"4,4prime-Dichlorobiphenyl",81.4
0.322233,844.17128,165.3396919,"2,2prime,4-Trichlorobiphenyl",81.6
0.299372,740.65343,170.5697235,"3,4prime-Dichlorobiphenyl",82.0
0.324646,844.17797,161.255774,"2,4prime,6-Trichlorobiphenyl",82.9
0.312026,844.19595,169.4610405,"2,3prime,5prime-Trichlorobiphenyl",83.3
0.316382,947.68446,166.4022422,"2,2prime,3,5prime-Tetrachlorobiphenyl",84.4
0.315542,947.73345,166.3544905,"2,2prime,5,5prime-Tetrachlorobiphenyl",84.5
0.317777,947.67761,165.227467,"2,2prime,5,6prime-Tetrachlorobiphenyl",84.9
0.32261,947.62653,166.5816928,"2,2prime,3,6prime-Tetrachlorobiphenyl",85.9
0.322027,947.67602,165.5097849,"2,2prime,4,6prime-Tetrachlorobiphenyl",86.5
0.31349,947.7327,166.0880929,"2,2prime,4,5prime-Tetrachlorobiphenyl",87.4
0.306806,844.15324,170.4039162,"2,3prime,4prime-Trichlorobiphenyl",88.3
0.313579,1051.14319,166.9308438,"2,2prime,3,5,6-Pentachlorobiphenyl",88.5
0.310051,844.10799,165.856837,"2,3,4-Trichlorobiphenyl",88.6
0.322795,1051.14093,169.5463646,"2,2prime,3,4,6prime-Pentachlorobiphenyl",88.6
0.315143,1051.14516,167.1856464,"2,2prime,3,4,6-Pentachlorobiphenyl",89.0
0.314736,1051.18948,167.1296407,"2,2prime,3,4prime,6-Pentachlorobiphenyl",89.2
0.325741,844.13283,161.2430067,"2,3,6-Trichlorobiphenyl",89.2
0.315717,1051.13979,168.4088102,"2,2prime,3,3prime,6-Pentachlorobiphenyl",89.2
0.302183,844.19296,167.4232605,"2,4,4prime-Trichlorobiphenyl",89.3
0.307074,844.19674,167.8875673,"2,3prime,5-Trichlorobiphenyl",89.4
0.31565,947.73262,167.0179323,"2,2prime,4,4prime-Tetrachlorobiphenyl",90.3
0.320791,947.74146,164.2965046,"2,3prime,4,6-Tetrachlorobiphenyl",90.3
0.32085,947.63845,165.7189556,"2,2prime,3,4-Tetrachlorobiphenyl",90.5
0.313979,947.69279,166.1007926,"2,2prime,4,5-Tetrachlorobiphenyl",90.8
0.302775,844.19346,166.3854901,"2,4prime,5-Trichlorobiphenyl",91.2
0.314193,1051.2407,168.2990796,"2,2prime,4,5prime,6-Pentachlorobiphenyl",91.6
0.317453,947.69192,162.8301467,"2,3,4prime,6-Tetrachlorobiphenyl",91.7
0.306239,1154.70605,169.7106783,"2,2prime,3,5,5prime,6-Hexachlorobiphenyl",92.0
0.317971,1051.23907,167.1082938,"2,2prime,4,4prime,6-Pentachlorobiphenyl",92.1
0.309787,1154.6549,170.1167544,"2,2prime,3,3prime,5,6-Hexachlorobiphenyl",92.1
0.311519,1051.19108,167.4162278,"2,2prime,3,5prime,6-Pentachlorobiphenyl",92.3
0.32775,947.74159,162.807453,"2,4,4prime,6-Tetrachlorobiphenyl",92.4
0.303486,947.66794,171.6948526,"2,3prime,4prime,5prime-Tetrachlorobiphenyl",92.4
0.327105,947.69828,164.920145,"2,3prime,4prime,6-Tetrachlorobiphenyl",92.8
0.29923,947.71436,172.1000475,"2,3prime,4,4prime-Tetrachlorobiphenyl",93.0
0.312777,1051.15461,167.3450617,"2,2prime,3,4,5-Pentachlorobiphenyl",93.1
0.307532,844.19576,169.8209056,"2,3prime,4-Trichlorobiphenyl",93.2
0.31486,844.15274,168.3617765,"2,3,3prime-Trichlorobiphenyl",93.7
0.301501,947.71246,166.8161899,"2,3,4prime,5-Tetrachlorobiphenyl",94.1
0.296694,947.71564,168.1527683,"2,4,4prime,5-Tetrachlorobiphenyl",94.4
0.315558,1154.65847,171.0352298,"2,2prime,3,4,5,6prime-Hexachlorobiphenyl",94.6
0.323373,947.63595,167.3085976,"2,2prime,3,3prime-Tetrachlorobiphenyl",94.7
0.314209,1051.25271,168.7529893,"2,3,3prime,5prime,6-Pentachlorobiphenyl",94.7
0.319205,947.68401,165.3969102,"2,2prime,3,4prime-Tetrachlorobiphenyl",95.2
0.311239,1051.24779,167.1139448,"2,2prime,3,4prime,5-Pentachlorobiphenyl",96.0
0.319016,1051.18915,168.7462183,"2,2prime,3,4prime,6prime-Pentachlorobiphenyl",96.3
0.318433,1154.72976,171.3002766,"2,2prime,4,4prime,6,6prime-Hexachlorobiphenyl",96.3
0.311342,1051.20669,168.797409,"2,2prime,3,4prime,5prime-Pentachlorobiphenyl",96.3
0.304357,1258.14497,173.8037876,"2,2prime,3,3prime,5,6,6prime-Heptachlorobiphenyl",96.3
0.307336,1154.70776,170.1228797,"2,2prime,3,4,5prime,6-Hexachlorobiphenyl",96.5
0.301156,947.71858,170.0505039,"2,3prime,4,5-Tetrachlorobiphenyl",96.6
0.311362,1154.65659,170.5150892,"2,2prime,3,3prime,4,6-Hexachlorobiphenyl",96.6
0.313051,1051.20741,164.2813835,"2,3,4prime,5,6-Pentachlorobiphenyl",96.9
0.310128,1154.76292,170.6814269,"2,2prime,4,4prime,5,6prime-Hexachlorobiphenyl",96.9
0.309126,1051.24861,168.6768152,"2,2prime,3,5,5prime-Pentachlorobiphenyl",97.0
0.308523,1154.70383,171.9335402,"2,2prime,3,3prime,5,6prime-Hexachlorobiphenyl",97.0
0.307313,1154.71353,170.3243158,"2,2prime,3,4prime,5prime,6-Hexachlorobiphenyl",97.1
0.312054,1051.20743,165.6849313,"2,3,3prime,5,6-Pentachlorobiphenyl",97.4
0.312491,1051.20919,164.5190796,"2,3,4,4prime,6-Pentachlorobiphenyl",97.4
0.312923,1051.2123,166.5543,"2,3,3prime,4prime,6-Pentachlorobiphenyl",97.6
0.319013,947.6482,162.5666152,"2,3,5,6-Tetrachlorobiphenyl",97.8
0.312289,1258.19507,172.7101508,"2,2prime,3,4prime,5,6,6prime-Heptachlorobiphenyl",97.9
0.3103,947.66533,167.6759879,"2,3,4,4prime-Tetrachlorobiphenyl",98.6
0.309878,1154.66762,170.5395175,"2,2prime,3,3prime,4,5-Hexachlorobiphenyl",99.3
0.305181,1258.16635,172.0308414,"2,2prime,3,4,5,5prime,6-Heptachlorobiphenyl",99.6
0.311786,1051.20028,169.9550736,"2,2prime,3,4,5prime-Pentachlorobiphenyl",99.6
0.316985,1051.30229,168.7036966,"2,3prime,4,5prime,6-Pentachlorobiphenyl",99.7
0.314604,1051.19997,167.3613914,"2,2prime,3,4,4prime-Pentachlorobiphenyl",100.2
0.306772,1258.14662,174.1724197,"2,2prime,3,3prime,4,6,6prime-Heptachlorobiphenyl",100.8
0.317008,1154.70416,171.1619546,"2,2prime,3,4,4prime,6prime-Hexachlorobiphenyl",100.9
0.313208,1154.65443,171.1389442,"2,2prime,3,3prime,4,6prime-Hexachlorobiphenyl",101.1
0.310049,1258.16462,170.5541327,"2,2prime,3,4,4prime,5,6-Heptachlorobiphenyl",102.0
0.315606,1051.2618,166.6443724,"2,3prime,4,4prime,6-Pentachlorobiphenyl",102.2
0.308118,1051.25421,167.8665894,"2,2prime,4,4prime,5-Pentachlorobiphenyl",102.3
0.306861,947.66888,169.8755452,"2,3,3prime,4-Tetrachlorobiphenyl",102.8
0.30899,1258.22168,172.8373218,"2,2prime,3,4,4prime,5,6prime-Heptachlorobiphenyl",102.8
0.309094,1258.16957,172.6279693,"2,2prime,3,3prime,4,5prime,6prime-Heptachlorobiphenyl",102.9
0.3068,1154.72236,171.7245911,"2,2prime,3,4,4prime,5prime-Hexachlorobiphenyl",103.1
0.305931,1258.17205,174.2835635,"2,2prime,3,3prime,4,5,6prime-Heptachlorobiphenyl",103.3
0.301829,1154.77763,171.7762967,"2,2prime,4,4prime,5,5prime-Hexachlorobiphenyl",103.5
0.310357,1154.76841,170.1720846,"2,3,3prime,5,5prime,6-Hexachlorobiphenyl",104.2
0.307275,1361.65433,174.6627458,"2,2prime,3,4,4prime,5,6,6prime-Octachlorobiphenyl",104.4
0.29644,1051.2307,173.3727316,"2,3prime,4,4prime,5prime-Pentachlorobiphenyl",104.4
0.307258,1154.71621,169.0291539,"2,2prime,3,4,4prime,5-Hexachlorobiphenyl",105.3
0.303623,1258.21901,174.5406211,"2,2prime,3,3prime,5,5prime,6-Heptachlorobiphenyl",105.5
0.298342,1051.2804,174.1941881,"2,3prime,4,5,5prime-Pentachlorobiphenyl",106.2
0.305207,1154.71762,170.9254463,"2,2prime,3,4,5,5prime-Hexachlorobiphenyl",106.2
0.298493,1051.18719,172.6026882,"2,3,3prime,4,4prime-Pentachlorobiphenyl",106.7
0.308935,1154.72817,168.089484,"2,3,3prime,4prime,5,6-Hexachlorobiphenyl",106.7
0.304507,1154.77114,171.1729166,"2,2prime,3,4prime,5,5prime-Hexachlorobiphenyl",106.8
0.301195,1051.18534,170.2657609,"2,3,3prime,4,5-Pentachlorobiphenyl",106.9
0.296464,1051.1818,168.655523,"2,3,4,4prime,5-Pentachlorobiphenyl",107.1
0.293544,1051.23659,172.78367,"2,3prime,4,4prime,5-Pentachlorobiphenyl",107.6
0.30848,1154.7297,168.3754262,"2,3,3prime,4,4prime,6-Hexachlorobiphenyl",110.7
0.300469,1361.68864,174.2654908,"2,2prime,3,4,4prime,5,5prime,6-Octachlorobiphenyl",110.7
0.3116,1154.72874,170.9925398,"2,3,3prime,4prime,5prime,6-Hexachlorobiphenyl",111.3
0.302633,1361.6888,176.7772297,"2,2prime,3,3prime,4,4prime,5,6prime-Octachlorobiphenyl",111.4
0.300834,1258.2396,173.2789804,"2,2prime,3,4,4prime,5,5prime-Heptachlorobiphenyl",111.9
0.270349,1154.68908,162.1229821,"3,3prime,4,4prime,5,5prime-Hexachlorobiphenyl",112.2
0.291187,1154.75425,176.3832176,"2,3prime,4,4prime,5,5prime-Hexachlorobiphenyl",112.2
0.293498,1154.70341,172.987699,"2,3,3prime,4,4prime,5-Hexachlorobiphenyl",112.6
0.303741,1258.23019,172.4543043,"2,2prime,3,4,4prime,5prime,6-Heptachlorobiphenyl",113.1
0.309296,1154.71509,171.0126693,"2,2prime,3,3prime,4,5prime-Hexachlorobiphenyl",113.2
0.309846,1258.24471,172.4567714,"2,3,3prime,4prime,5,5prime,6-Heptachlorobiphenyl",113.2
0.307779,1258.22944,172.1093579,"2,3,3prime,4,5,5prime,6-Heptachlorobiphenyl",113.5
0.30485,1258.22089,174.7450415,"2,2prime,3,3prime,4,5prime,6-Heptachlorobiphenyl",114.3
0.300391,1465.12114,178.5874206,"2,2prime,3,3prime,4,4prime,5,6,6prime-nonachlorobiphenyl",115.4
0.306361,1258.18896,170.1095517,"2,3,3prime,4,4prime,5,6-Heptachlorobiphenyl",115.7
0.305917,1258.18313,172.9446809,"2,2prime,3,3prime,4,4prime,5-Heptachlorobiphenyl",116.0
0.303164,1258.23197,175.822325,"2,2prime,3,3prime,4,5,5prime-Heptachlorobiphenyl",117.2
0.306669,1361.62951,174.6183968,"2,2prime,3,3prime,4,4prime,5,6-Octachlorobiphenyl",117.3
0.299508,1465.14746,178.7973971,"2,2prime,3,3prime,4,4prime,5,5prime,6-nonachlorobiphenyl",119.0
0.303443,1361.70072,177.9300787,"2,2prime,3,3prime,4,4prime,5,5prime-Octachlorobiphenyl",119.6
0.314961,1258.2459,172.6792419,"2,3,3prime,4,4prime,5prime,6-Heptachlorobiphenyl",120.5
0.291394,1258.22136,177.7146302,"2,3,3prime,4,4prime,5,5prime-Heptachlorobiphenyl",122.1
0.306906,1361.70567,174.3967913,"2,3,3prime,4,4prime,5,5prime,6-Octachlorobiphenyl",125.5
