Name,Hardness,SGBP,g3,Hvapor,Hvapor_pred,Hvapor_pred_sd,Set
4-Chlorobiphenyl,0.289335,637.06127,148.1919051,71.6,80.83073247488176,0.79,CV
"2,2prime-Dichlorobiphenyl",0.335502,740.609,164.1925843,72.6,73.83876637914207,0.87,CV
"2,3-Dichlorobiphenyl",0.318685,740.59158,164.6415871,73.4,79.118502714876,0.51,CV
"2,4-Dichlorobiphenyl",0.311422,740.63601,165.6496185,75.4,81.67702779769238,0.67,CV
"2,4prime-Dichlorobiphenyl",0.310096,740.63179,165.9752906,76.5,81.9252539127937,0.66,CV
"2,3prime-Dichlorobiphenyl",0.315586,740.63454,167.8778325,77.8,81.08546843351776,0.54,CV
"2,2prime,6,6prime-Tetrachlorobiphenyl",0.328837,947.60383,167.9463202,79.4,86.61679517315375,0.54,CV
"2,2prime,3-Trichlorobiphenyl",0.326144,844.12292,164.2199363,79.9,81.04195157266545,0.38,CV
"2,2prime,5-Trichlorobiphenyl",0.319932,844.17104,164.435106,80.2,82.98108442114118,0.34,CV
"2,2prime,3,6-Tetrachlorobiphenyl",0.319817,947.62832,165.5896906,80.5,88.55522755031346,0.38,CV
"3,3prime-Dichlorobiphenyl",0.304095,740.65414,152.9047235,81.0,79.37279533250918,1.06,CV
"2,3,4prime-Trichlorobiphenyl",0.308782,844.14925,166.398345,81.0,87.54447367604152,0.47,CV
"2,2prime,4,6-Tetrachlorobiphenyl",0.323273,947.67806,165.444819,81.2,87.47182265650346,0.43,CV
"4,4prime-Dichlorobiphenyl",0.294904,740.65411,152.499661,81.4,82.6214887386372,1.55,CV
"2,2prime,4-Trichlorobiphenyl",0.322233,844.17128,165.3396919,81.6,82.5915639469292,0.28,CV
"2,4prime,6-Trichlorobiphenyl",0.324646,844.17797,161.255774,82.9,80.36951530442548,0.34,CV
"2,3prime,5prime-Trichlorobiphenyl",0.312026,844.19595,169.4610405,83.3,87.28840531649949,0.53,CV
"2,2prime,3,5prime-Tetrachlorobiphenyl",0.316382,947.68446,166.4022422,84.4,89.57785357915589,0.3,CV
"2,2prime,5,5prime-Tetrachlorobiphenyl",0.315542,947.73345,166.3544905,84.5,89.99784453407196,0.35,CV
"2,2prime,3,6prime-Tetrachlorobiphenyl",0.32261,947.62653,166.5816928,85.9,87.88853234359871,0.37,CV
"2,2prime,4,6prime-Tetrachlorobiphenyl",0.322027,947.67602,165.5097849,86.5,87.6770046088886,0.51,CV
"2,2prime,4,5prime-Tetrachlorobiphenyl",0.31349,947.7327,166.0880929,87.4,90.53085802594703,0.27,CV
"2,3prime,4prime-Trichlorobiphenyl",0.306806,844.15324,170.4039162,88.3,89.18970040924458,0.6,CV
"2,3,4-Trichlorobiphenyl",0.310051,844.10799,165.856837,88.6,86.46477498526122,0.45,CV
"2,2prime,3,4,6prime-Pentachlorobiphenyl",0.322795,1051.14093,169.5463646,88.6,93.52738207049342,0.31,CV
"2,2prime,3,4,6-Pentachlorobiphenyl",0.315143,1051.14516,167.1856464,89.0,95.22949998271277,0.25,CV
"2,2prime,3,4prime,6-Pentachlorobiphenyl",0.314736,1051.18948,167.1296407,89.2,95.33990106661044,0.29,CV
"2,2prime,3,3prime,6-Pentachlorobiphenyl",0.315717,1051.13979,168.4088102,89.2,95.21888019397771,0.2,CV
"2,4,4prime-Trichlorobiphenyl",0.302183,844.19296,167.4232605,89.3,89.54447035509841,0.73,CV
"2,3prime,5-Trichlorobiphenyl",0.307074,844.19674,167.8875673,89.4,88.00312820035636,0.58,CV
"2,3prime,4,6-Tetrachlorobiphenyl",0.320791,947.74146,164.2965046,90.3,87.50134704205296,0.25,CV
"2,2prime,3,4-Tetrachlorobiphenyl",0.32085,947.63845,165.7189556,90.5,87.96107722363038,0.34,CV
"2,2prime,4,5-Tetrachlorobiphenyl",0.313979,947.69279,166.1007926,90.8,90.18402286186964,0.23,CV
"2,4prime,5-Trichlorobiphenyl",0.302775,844.19346,166.3854901,91.2,88.83395680722927,0.5,CV
"2,3,4prime,6-Tetrachlorobiphenyl",0.317453,947.69192,162.8301467,91.7,87.98197642351275,0.3,CV
"2,2prime,3,5,5prime,6-Hexachlorobiphenyl",0.306239,1154.70605,169.7106783,92.0,103.65122946484794,0.35,CV
"2,2prime,4,4prime,6-Pentachlorobiphenyl",0.317971,1051.23907,167.1082938,92.1,94.15287635789255,0.28,CV
"2,2prime,3,3prime,5,6-Hexachlorobiphenyl",0.309787,1154.6549,170.1167544,92.1,102.4447152421618,0.36,CV
"2,4,4prime,6-Tetrachlorobiphenyl",0.32775,947.74159,162.807453,92.4,84.68554251679559,0.43,CV
"2,3prime,4prime,5prime-Tetrachlorobiphenyl",0.303486,947.66794,171.6948526,92.4,95.01895538981702,0.56,CV
"2,3prime,4prime,6-Tetrachlorobiphenyl",0.327105,947.69828,164.920145,92.8,85.49588915797963,0.41,CV
"2,3prime,4,4prime-Tetrachlorobiphenyl",0.29923,947.71436,172.1000475,93.0,96.97722477941474,0.55,CV
"2,3prime,4-Trichlorobiphenyl",0.307532,844.19576,169.8209056,93.2,88.37008797393311,0.72,CV
"2,3,3prime-Trichlorobiphenyl",0.31486,844.15274,168.3617765,93.7,85.61103772070328,0.32,CV
"2,3,4prime,5-Tetrachlorobiphenyl",0.301501,947.71246,166.8161899,94.1,94.44955439100035,0.47,CV
"2,4,4prime,5-Tetrachlorobiphenyl",0.296694,947.71564,168.1527683,94.4,96.12888175655344,0.28,CV
"2,2prime,3,3prime-Tetrachlorobiphenyl",0.323373,947.63595,167.3085976,94.7,87.5951378523945,0.32,CV
"2,3,3prime,5prime,6-Pentachlorobiphenyl",0.314209,1051.25271,168.7529893,94.7,95.79481966015676,0.28,CV
"2,2prime,3,4prime-Tetrachlorobiphenyl",0.319205,947.68401,165.3969102,95.2,88.31329231149654,0.35,CV
"2,2prime,3,4prime,5-Pentachlorobiphenyl",0.311239,1051.24779,167.1139448,96.0,96.0156006319036,0.3,CV
