Name,SGBP,Hardness,Hvapor,Hvapor_pred,Hvapor_pred_sd,Set
4-Chlorobiphenyl,637.06127,0.289335,71.6,83.84522648947078,1.3,CV
"2,2prime-Dichlorobiphenyl",740.609,0.335502,72.6,73.23973324035077,0.83,CV
"2,3-Dichlorobiphenyl",740.59158,0.318685,73.4,78.39252964370448,0.59,CV
"2,4-Dichlorobiphenyl",740.63601,0.311422,75.4,80.80646331389657,0.83,CV
"2,4prime-Dichlorobiphenyl",740.63179,0.310096,76.5,80.744289741019,0.74,CV
"2,3prime-Dichlorobiphenyl",740.63454,0.315586,77.8,79.29108348088371,0.52,CV
"2,2prime,6,6prime-Tetrachlorobiphenyl",947.60383,0.328837,79.4,86.07881739565774,0.57,CV
"2,2prime,3-Trichlorobiphenyl",844.12292,0.326144,79.9,81.06576494008665,0.37,CV
"2,2prime,5-Trichlorobiphenyl",844.17104,0.319932,80.2,83.029562897844,0.37,CV
"2,2prime,3,6-Tetrachlorobiphenyl",947.62832,0.319817,80.5,88.87135974605016,0.34,CV
"3,3prime-Dichlorobiphenyl",740.65414,0.304095,81.0,82.4641451855816,0.67,CV
"2,3,4prime-Trichlorobiphenyl",844.14925,0.308782,81.0,86.95746682496682,0.53,CV
"2,2prime,4,6-Tetrachlorobiphenyl",947.67806,0.323273,81.2,87.7518431310016,0.48,CV
"4,4prime-Dichlorobiphenyl",740.65411,0.294904,81.4,86.0671179103625,1.24,CV
"2,2prime,4-Trichlorobiphenyl",844.17128,0.322233,81.6,82.37542931423602,0.3,CV
"2,4prime,6-Trichlorobiphenyl",844.17797,0.324646,82.9,81.41892843981138,0.29,CV
"2,3prime,5prime-Trichlorobiphenyl",844.19595,0.312026,83.3,85.59678380234973,0.51,CV
"2,2prime,3,5prime-Tetrachlorobiphenyl",947.68446,0.316382,84.4,89.66645074263252,0.3,CV
"2,2prime,5,5prime-Tetrachlorobiphenyl",947.73345,0.315542,84.5,90.06610056190347,0.32,CV
"2,2prime,3,6prime-Tetrachlorobiphenyl",947.62653,0.32261,85.9,87.89273772602093,0.38,CV
"2,2prime,4,6prime-Tetrachlorobiphenyl",947.67602,0.322027,86.5,87.93613733121052,0.48,CV
"2,2prime,4,5prime-Tetrachlorobiphenyl",947.7327,0.31349,87.4,90.67119211384635,0.29,CV
"2,3prime,4prime-Trichlorobiphenyl",844.15324,0.306806,88.3,87.47451461964641,0.6,CV
"2,3,4-Trichlorobiphenyl",844.10799,0.310051,88.6,86.07601700318918,0.51,CV
"2,2prime,3,4,6prime-Pentachlorobiphenyl",1051.14093,0.322795,88.6,93.24643072093504,0.32,CV
