Fermi-level,G of H-bonds H2O,HOMO-LUMO gap,LUMO,Pt_Atom FOD,Pt_Atom SASA,Pt_Buried volume,Pt_Dipole moment,Pt_Electrophil.,Pt_Fukui dual,Pt_Fukui_rad,Pt_Normaliz. electrophil.,Pt_Pyramidalization,S0-T1 gap,SASA,code_name,TOF_class
-7.8693,-1.85,8.4073,0.1309,0.1564,0.0,81.48,0.1622,0.0465,-0.062,0.108,0.0642,0.0169,66.18,732.053,3aj,0
-7.7016,-1.5591,8.9108,0.6053,0.2031,0.0,89.4253,0.1597,0.0478,-0.0522,0.1125,0.0643,0.032,61.5281,790.9529,3ai,0
-8.3755,-1.968,8.4062,0.0471,0.1976,0.0,90.2975,0.5845,0.0218,-0.1046,0.0676,0.016,0.0101,65.765,1201.8357,3ce,0
-7.8302,-1.6208,8.5729,0.3964,0.2032,0.4144,83.4975,0.0903,0.0731,0.042,0.1539,0.1197,0.031,59.6761,753.284,3ak,0
-8.1835,-1.72,8.3495,0.1313,0.204,0.0,88.47,0.6002,0.0277,-0.137,0.088,0.0184,0.0064,64.81,748.214,3ca,0
-7.6902,-1.6822,9.0014,0.7432,0.1958,0.0,89.5018,0.1326,0.0423,-0.0767,0.1075,0.051,0.0123,63.0923,741.6873,3ba,0
-7.2735,-1.26,7.1397,0.4392,0.3785,0.0,91.73,0.2467,0.0381,-0.257,0.14,0.0086,0.1267,55.97,1213.6877,[Pt(IPr2)(dvtms)],0
-7.1128,-1.03,7.1642,0.6997,0.3031,0.0,89.89,0.2909,0.0414,-0.287,0.158,0.0076,0.0313,61.92,782.4235,[Pt(IPr)(dvtms)],0
-7.6674,-2.11,9.2216,0.8802,0.17,0.0,84.2245,0.1281,0.0426,-0.0675,0.1082,0.0529,0.0045,65.5157,651.7736,3ac,0
-7.8163,-1.7904,8.7517,0.6651,0.1957,0.6648,80.6199,0.0436,0.0769,0.0346,0.1698,0.1235,0.005,60.3615,570.1493,3ad,0
-7.8142,-1.7824,8.7501,0.4651,0.2211,0.0,93.8413,0.1202,0.0332,-0.0766,0.0811,0.0388,0.062,61.7846,1193.0902,3be,1
-7.7129,-1.7646,9.019,0.7225,0.1979,0.0,89.3342,0.1458,0.046,-0.0632,0.1118,0.0597,0.0283,62.3734,712.3052,3aa,1
-6.8499,-0.76,7.5131,1.3747,0.2167,0.05,85.15,0.3943,0.062,-0.173,0.219,0.047,1.4438,63.85,648.7219,[Pt(ICy)(dvtms)],1
-7.9107,-1.8853,8.9538,0.5337,0.1999,0.0144,91.3992,0.1252,0.034,-0.0643,0.079,0.0436,0.0812,63.081,1168.988,3ae,1
-7.9932,-1.7327,8.8104,0.2905,0.2012,0.0,91.299,0.1231,0.0313,-0.0631,0.0719,0.0407,0.0323,63.0192,1399.098,3ah,1
-7.9034,-2.1862,9.0922,0.7397,0.2006,0.0,91.5467,0.133,0.0361,-0.0535,0.08,0.049,0.0335,62.9312,1184.2575,3ag,1
-7.7619,-2.8472,8.9842,0.5929,0.1951,0.021,90.6473,0.128,0.0333,-0.0476,0.0753,0.0427,0.0332,63.2022,1366.1928,3af,1
-7.7012,-1.6378,9.0135,0.7108,0.1954,0.0,89.6096,0.126,0.0469,-0.0474,0.1112,0.0633,0.0559,62.0557,708.0532,3ab,1
