LUMO,Pt_Dipole moment,Pt_Fukui dual,Pt_Normaliz. electrophil.,Pt_Pyramidalization,SASA,code_name,TOF_class,Set
0.1309,0.1622,-0.062,0.0642,0.0169,732.053,3aj,0,Training
0.6053,0.1597,-0.0522,0.0643,0.032,790.9529,3ai,0,Test
0.0471,0.5845,-0.1046,0.016,0.0101,1201.8357,3ce,0,Training
0.3964,0.0903,0.042,0.1197,0.031,753.284,3ak,0,Training
0.1313,0.6002,-0.137,0.0184,0.0064,748.214,3ca,0,Training
0.7432,0.1326,-0.0767,0.051,0.0123,741.6873,3ba,0,Training
0.4392,0.2467,-0.257,0.0086,0.1267,1213.6877,[Pt(IPr2)(dvtms)],0,Test
0.6997,0.2909,-0.287,0.0076,0.0313,782.4235,[Pt(IPr)(dvtms)],0,Training
0.8802,0.1281,-0.0675,0.0529,0.0045,651.7736,3ac,0,Test
0.6651,0.0436,0.0346,0.1235,0.005,570.1493,3ad,0,Training
0.4651,0.1202,-0.0766,0.0388,0.062,1193.0902,3be,1,Test
0.7225,0.1458,-0.0632,0.0597,0.0283,712.3052,3aa,1,Training
1.3747,0.3943,-0.173,0.047,1.4438,648.7219,[Pt(ICy)(dvtms)],1,Training
0.5337,0.1252,-0.0643,0.0436,0.0812,1168.988,3ae,1,Training
0.2905,0.1231,-0.0631,0.0407,0.0323,1399.098,3ah,1,Training
0.7397,0.133,-0.0535,0.049,0.0335,1184.2575,3ag,1,Training
0.5929,0.128,-0.0476,0.0427,0.0332,1366.1928,3af,1,Training
0.7108,0.126,-0.0474,0.0633,0.0559,708.0532,3ab,1,Training
