code_name,LUMO,Pt_Dipole moment,Pt_Fukui dual,Pt_Normaliz. electrophil.,Pt_Pyramidalization,SASA,TOF_class,TOF_class_pred,TOF_class_pred_sd,Set
3aj,0.1309,0.1622,-0.062,0.0642,0.0169,732.053,0,0,0.4,CV
3ce,0.0471,0.5845,-0.1046,0.016,0.0101,1201.8357,0,0,0.46,CV
3ak,0.3964,0.0903,0.042,0.1197,0.031,753.284,0,1,0.4,CV
3ca,0.1313,0.6002,-0.137,0.0184,0.0064,748.214,0,0,0.0,CV
3ba,0.7432,0.1326,-0.0767,0.051,0.0123,741.6873,0,1,0.46,CV
[Pt(IPr)(dvtms)],0.6997,0.2909,-0.287,0.0076,0.0313,782.4235,0,0,0.49,CV
3ad,0.6651,0.0436,0.0346,0.1235,0.005,570.1493,0,0,0.49,CV
3aa,0.7225,0.1458,-0.0632,0.0597,0.0283,712.3052,1,0,0.0,CV
[Pt(ICy)(dvtms)],1.3747,0.3943,-0.173,0.047,1.4438,648.7219,1,1,0.49,CV
3ae,0.5337,0.1252,-0.0643,0.0436,0.0812,1168.988,1,1,0.49,CV
3ah,0.2905,0.1231,-0.0631,0.0407,0.0323,1399.098,1,0,0.49,CV
3ag,0.7397,0.133,-0.0535,0.049,0.0335,1184.2575,1,1,0.3,CV
3af,0.5929,0.128,-0.0476,0.0427,0.0332,1366.1928,1,1,0.4,CV
3ab,0.7108,0.126,-0.0474,0.0633,0.0559,708.0532,1,1,0.4,CV
3ai,0.6053,0.1597,-0.0522,0.0643,0.032,790.9529,0,1,0.47,Test
[Pt(IPr2)(dvtms)],0.4392,0.2467,-0.257,0.0086,0.1267,1213.6877,0,1,0.48,Test
3ac,0.8802,0.1281,-0.0675,0.0529,0.0045,651.7736,0,0,0.47,Test
3be,0.4651,0.1202,-0.0766,0.0388,0.062,1193.0902,1,1,0.44,Test
