code_name,Pt_Pyramidalization,TOF_class,TOF_class_pred,TOF_class_pred_sd,Set
3aj,0.0169,0,0,0.0,CV
3ce,0.0101,0,0,0.0,CV
3ak,0.031,0,1,0.0,CV
3ca,0.0064,0,0,0.0,CV
3ba,0.0123,0,0,0.0,CV
[Pt(IPr)(dvtms)],0.0313,0,0,0.49,CV
3ad,0.005,0,0,0.0,CV
3aa,0.0283,1,0,0.0,CV
[Pt(ICy)(dvtms)],1.4438,1,1,0.0,CV
3ae,0.0812,1,1,0.0,CV
3ah,0.0323,1,1,0.46,CV
3ag,0.0335,1,1,0.0,CV
3af,0.0332,1,1,0.0,CV
3ab,0.0559,1,1,0.0,CV
3ai,0.032,0,1,0.37,Test
[Pt(IPr2)(dvtms)],0.1267,0,1,0.0,Test
3ac,0.0045,0,0,0.0,Test
3be,0.062,1,1,0.0,Test
