C(CF3)3,CF3,CH2-Br,CH2-Cl,CH2-F,CH2-OH,CH2-Phe,CH2-n-Bu,Cycle,Dipole module,G of H-bonds H2O,G solv. in H2O,Glyc,H,HOMO,Me,MeMe(cis),MeMe(trans),O1CC1_O_Coord. numbers,O1CC1_O_Dipole moment,O1CC1_O_Dispersion,O1CC1_O_H bond with H2O,O1CC1_O_Pyramidaliz. volume,O1CC1_O_Pyramidalization,O1CC1_O_s proportion,OH,Ph,PhePhe,PhePhe(cis),Second EA,Second IP,tBu,SMILES,MolLogP
False,False,False,False,False,False,False,False,False,1.5397,-4.5633,-6.8748,False,False,-10.9195,False,False,False,1.702,0.6541,12.6015,-0.003,13.9355,1.6159,1.744,True,False,False,False,-4.8537,17.9972,False,OC1OC1,-0.665
False,False,False,False,False,True,False,False,False,1.5755,-3.7238,-6.0611,False,False,-10.6753,False,False,False,1.702,0.6642,13.6696,-0.0021,13.9355,1.6068,1.7436,False,False,False,False,-3.5845,16.3296,False,OCC1OC1,-0.6225
False,False,False,False,False,False,False,False,False,1.6727,-0.6418,-2.2318,False,True,-10.5241,False,False,False,1.702,0.6849,12.0643,-0.003,13.9312,1.6117,1.745,False,False,False,False,-5.1842,18.5491,False,O1CC1,0.0166
False,False,False,False,True,False,False,False,False,0.7369,-1.4033,-3.5412,False,False,-10.9124,False,False,False,1.702,0.6612,13.2824,-0.003,13.9275,1.6068,1.7419,False,False,False,False,-3.1623,16.9902,False,FCC1OC1,0.3547
False,False,False,False,False,False,False,False,False,1.7833,-0.7288,-2.5102,False,False,-10.6038,True,False,False,1.702,0.6659,13.2572,-0.003,13.9221,1.599,1.743,False,False,False,False,-4.3453,16.7405,False,CC1OC1,0.4051
False,False,False,False,False,False,False,False,False,2.829,-1.731,-6.2118,True,False,-10.5237,False,False,False,1.702,0.6591,14.1495,-0.003,13.9264,1.6065,1.7399,False,False,False,False,2.5064,13.8976,False,CC(C(OCC1OC1)=O)=C,0.5045
False,False,False,True,False,False,False,False,False,0.5261,-0.9629,-3.1519,False,False,-10.8491,False,False,False,1.7021,0.6705,13.7664,-0.003,13.9273,1.6055,1.7387,False,False,False,False,0.97,15.7683,False,ClCC1OC1,0.624
False,False,True,False,False,False,False,False,False,0.5243,-0.9186,-2.3241,False,False,-10.865,False,False,False,1.7021,0.6728,13.9016,-0.003,13.934,1.6061,1.7398,False,False,False,False,1.6783,15.9389,False,BrCC1OC1,0.7801
False,False,False,False,False,False,False,False,False,1.8795,-0.8479,-2.8362,False,False,-10.6547,False,False,True,1.701,0.6477,14.7647,-0.002,13.9288,1.599,1.743,False,False,False,False,-3.7294,15.5865,False,C[C@H]1O[C@@H]1C,0.7936
False,False,False,False,False,False,False,False,False,1.8714,-0.8004,-2.8476,False,False,-10.6264,False,True,False,1.701,0.6441,14.2477,-0.003,13.9202,1.5959,1.743,False,False,False,False,-3.7429,15.5449,False,C[C@H]1O[C@H]1C,0.7936
False,True,False,False,False,False,False,False,False,2.3847,-1.633,-3.0574,False,False,-11.224,False,False,False,1.703,0.6673,13.6066,-0.003,13.9161,1.6101,1.732,False,False,False,False,-2.4492,18.1931,False,FC(C1OC1)(F)F,0.9475
False,False,False,False,False,False,False,False,True,1.794,-0.6216,-2.4645,False,False,-10.6353,False,False,False,1.702,0.649,15.4057,-0.002,13.9079,1.5987,1.742,False,False,False,False,-3.2492,14.7106,False,C12OC1CCCC2,1.3278
False,False,False,False,False,False,False,False,False,1.669,-0.6462,-2.4475,False,False,-10.5674,False,False,False,1.702,0.6711,15.3738,-0.002,13.9271,1.594,1.74,False,False,False,False,-3.2362,14.632,True,CC(C)(C)C1OC1,1.4313
False,False,False,False,False,False,True,False,False,1.6656,-0.67,-2.8758,False,False,-9.72,False,False,False,1.702,0.6659,15.0235,-0.0026,13.9275,1.6013,1.7378,False,False,False,False,2.1464,13.7036,False,C1(CC2=CC=CC=C2)OC1,1.6279
False,False,False,False,False,False,False,False,False,1.6395,-0.5915,-2.5774,False,False,-9.6663,False,False,False,1.702,0.6545,14.7434,-0.002,13.9161,1.5984,1.737,False,True,False,False,2.3656,14.2496,False,C1(C2=CC=CC=C2)OC1,1.7579
False,False,False,False,False,False,False,True,False,1.8227,-0.7127,-2.5258,False,False,-10.6336,False,False,False,1.702,0.6729,14.45,-0.0028,13.9253,1.5987,1.7407,False,False,False,False,-2.7061,13.5127,False,CCCCCC1OC1,1.9655
False,False,False,False,False,False,False,False,False,1.5723,-0.6595,-3.5107,False,False,-9.8318,False,False,False,1.702,0.6418,18.6022,-0.002,13.9338,1.6116,1.741,False,False,True,False,4.4427,12.6632,False,C1(C2(C3=CC=CC=C3)OC2)=CC=CC=C1,2.9604
True,False,False,False,False,False,False,False,False,2.2204,-1.9666,-2.1393,False,False,-11.3699,False,False,False,1.703,0.6734,16.1914,-0.002,13.9093,1.6054,1.727,False,False,False,False,0.1159,17.2691,False,FC(C(C(F)(F)F)(C(F)(F)F)C1OC1)(F)F,3.0585
False,False,False,False,False,False,False,False,False,1.6476,-0.6219,-2.9385,False,False,-9.5011,False,False,False,1.702,0.6251,17.1309,-0.002,13.8906,1.5981,1.738,False,False,False,True,4.3235,12.7306,False,[C@H]1(C2=CC=CC=C2)O[C@H]1C3=CC=CC=C3,3.4992
