C(CF3)3,CH2-n-Bu,G solv. in H2O,O1CC1_O_Dispersion,O1CC1_O_s proportion,PhePhe,SMILES,MolLogP
False,False,-6.8748,12.6015,1.744,False,OC1OC1,-0.665
False,False,-6.0611,13.6696,1.7436,False,OCC1OC1,-0.6225
False,False,-2.2318,12.0643,1.745,False,O1CC1,0.0166
False,False,-3.5412,13.2824,1.7419,False,FCC1OC1,0.3547
False,False,-2.5102,13.2572,1.743,False,CC1OC1,0.4051
False,False,-6.2118,14.1495,1.7399,False,CC(C(OCC1OC1)=O)=C,0.5045
False,False,-3.1519,13.7664,1.7387,False,ClCC1OC1,0.624
False,False,-2.3241,13.9016,1.7398,False,BrCC1OC1,0.7801
False,False,-2.8362,14.7647,1.743,False,C[C@H]1O[C@@H]1C,0.7936
False,False,-2.8476,14.2477,1.743,False,C[C@H]1O[C@H]1C,0.7936
False,False,-3.0574,13.6066,1.732,False,FC(C1OC1)(F)F,0.9475
False,False,-2.4645,15.4057,1.742,False,C12OC1CCCC2,1.3278
False,False,-2.4475,15.3738,1.74,False,CC(C)(C)C1OC1,1.4313
False,False,-2.8758,15.0235,1.7378,False,C1(CC2=CC=CC=C2)OC1,1.6279
False,False,-2.5774,14.7434,1.737,False,C1(C2=CC=CC=C2)OC1,1.7579
False,True,-2.5258,14.45,1.7407,False,CCCCCC1OC1,1.9655
False,False,-3.5107,18.6022,1.741,True,C1(C2(C3=CC=CC=C3)OC2)=CC=CC=C1,2.9604
True,False,-2.1393,16.1914,1.727,False,FC(C(C(F)(F)F)(C(F)(F)F)C1OC1)(F)F,3.0585
False,False,-2.9385,17.1309,1.738,False,[C@H]1(C2=CC=CC=C2)O[C@H]1C3=CC=CC=C3,3.4992
