G solv. in H2O,HOMO,O1CC1_O_Dispersion,O1CC1_O_Pyramidaliz. volume,Second EA,Second IP,SMILES,MolLogP
-6.8748,-10.9195,12.6015,13.9355,-4.8537,17.9972,OC1OC1,-0.665
-6.0611,-10.6753,13.6696,13.9355,-3.5845,16.3296,OCC1OC1,-0.6225
-2.2318,-10.5241,12.0643,13.9312,-5.1842,18.5491,O1CC1,0.0166
-3.5412,-10.9124,13.2824,13.9275,-3.1623,16.9902,FCC1OC1,0.3547
-2.5102,-10.6038,13.2572,13.9221,-4.3453,16.7405,CC1OC1,0.4051
-6.2118,-10.5237,14.1495,13.9264,2.5064,13.8976,CC(C(OCC1OC1)=O)=C,0.5045
-3.1519,-10.8491,13.7664,13.9273,0.97,15.7683,ClCC1OC1,0.624
-2.3241,-10.865,13.9016,13.934,1.6783,15.9389,BrCC1OC1,0.7801
-2.8362,-10.6547,14.7647,13.9288,-3.7294,15.5865,C[C@H]1O[C@@H]1C,0.7936
-2.8476,-10.6264,14.2477,13.9202,-3.7429,15.5449,C[C@H]1O[C@H]1C,0.7936
-3.0574,-11.224,13.6066,13.9161,-2.4492,18.1931,FC(C1OC1)(F)F,0.9475
-2.4645,-10.6353,15.4057,13.9079,-3.2492,14.7106,C12OC1CCCC2,1.3278
-2.4475,-10.5674,15.3738,13.9271,-3.2362,14.632,CC(C)(C)C1OC1,1.4313
-2.8758,-9.72,15.0235,13.9275,2.1464,13.7036,C1(CC2=CC=CC=C2)OC1,1.6279
-2.5774,-9.6663,14.7434,13.9161,2.3656,14.2496,C1(C2=CC=CC=C2)OC1,1.7579
-2.5258,-10.6336,14.45,13.9253,-2.7061,13.5127,CCCCCC1OC1,1.9655
-3.5107,-9.8318,18.6022,13.9338,4.4427,12.6632,C1(C2(C3=CC=CC=C3)OC2)=CC=CC=C1,2.9604
-2.1393,-11.3699,16.1914,13.9093,0.1159,17.2691,FC(C(C(F)(F)F)(C(F)(F)F)C1OC1)(F)F,3.0585
-2.9385,-9.5011,17.1309,13.8906,4.3235,12.7306,[C@H]1(C2=CC=CC=C2)O[C@H]1C3=CC=CC=C3,3.4992
