SMILES,O1CC1_O_Dispersion,O1CC1_O_Pyramidaliz. volume,MolLogP,MolLogP_pred,MolLogP_pred_sd,Set
OC1OC1,12.6015,13.9355,-0.665,-0.2956210657169322,0.15,CV
OCC1OC1,13.6696,13.9355,-0.6225,0.5931823271924259,0.06,CV
O1CC1,12.0643,13.9312,0.0166,-0.8448425382946685,0.09,CV
CC1OC1,13.2572,13.9221,0.4051,0.4623886111698937,0.1,CV
CC(C(OCC1OC1)=O)=C,14.1495,13.9264,0.5045,0.9473162921311606,0.08,CV
ClCC1OC1,13.7664,13.9273,0.624,0.6121769467256435,0.08,CV
BrCC1OC1,13.9016,13.934,0.7801,0.4439545187720689,0.13,CV
C[C@H]1O[C@H]1C,14.2477,13.9202,0.7936,1.1019923072720055,0.06,CV
FC(C1OC1)(F)F,13.6066,13.9161,0.9475,0.7708835211565577,0.18,CV
C12OC1CCCC2,15.4057,13.9079,1.3278,2.326113910509228,0.14,CV
C1(CC2=CC=CC=C2)OC1,15.0235,13.9275,1.6279,1.2861715790750143,0.21,CV
C1(C2=CC=CC=C2)OC1,14.7434,13.9161,1.7579,1.4508507475957317,0.04,CV
CCCCCC1OC1,14.45,13.9253,1.9655,0.982392708214116,0.12,CV
FC(C(C(F)(F)F)(C(F)(F)F)C1OC1)(F)F,16.1914,13.9093,3.0585,2.3523540513569747,0.11,CV
[C@H]1(C2=CC=CC=C2)O[C@H]1C3=CC=CC=C3,17.1309,13.8906,3.4992,3.7471121041215567,0.46,CV
FCC1OC1,13.2824,13.9275,0.3547,0.29878126635453983,0.1,Test
C[C@H]1O[C@@H]1C,14.7647,13.9288,0.7936,1.1834973824257,0.16,Test
CC(C)(C)C1OC1,15.3738,13.9271,1.4313,1.6044378551151188,0.19,Test
C1(C2(C3=CC=CC=C3)OC2)=CC=CC=C1,18.6022,13.9338,2.9604,3.4319336013033803,0.55,Test
