SMILES,C(CF3)3,CH2-n-Bu,G solv. in H2O,O1CC1_O_Dispersion,O1CC1_O_s proportion,PhePhe,MolLogP,MolLogP_pred,MolLogP_pred_sd,Set
OC1OC1,False,False,-6.8748,12.6015,1.744,False,-0.665,-0.6832904111332012,0.22,CV
OCC1OC1,False,False,-6.0611,13.6696,1.7436,False,-0.6225,-0.016910092210028604,0.12,CV
O1CC1,False,False,-2.2318,12.0643,1.745,False,0.0166,0.03479651365737122,0.3,CV
CC1OC1,False,False,-2.5102,13.2572,1.743,False,0.4051,0.2817129285232224,0.15,CV
CC(C(OCC1OC1)=O)=C,False,False,-6.2118,14.1495,1.7399,False,0.5045,-0.05067631704497912,0.21,CV
ClCC1OC1,False,False,-3.1519,13.7664,1.7387,False,0.624,0.7248652032106919,0.11,CV
BrCC1OC1,False,False,-2.3241,13.9016,1.7398,False,0.7801,0.8272153863893843,0.14,CV
C[C@H]1O[C@H]1C,False,False,-2.8476,14.2477,1.743,False,0.7936,0.44434571530498,0.1,CV
FC(C1OC1)(F)F,False,False,-3.0574,13.6066,1.732,False,0.9475,1.563533975218038,0.22,CV
C12OC1CCCC2,False,False,-2.4645,15.4057,1.742,False,1.3278,1.782978735933326,0.24,CV
C1(CC2=CC=CC=C2)OC1,False,False,-2.8758,15.0235,1.7378,False,1.6279,1.816506287552306,0.05,CV
C1(C2=CC=CC=C2)OC1,False,False,-2.5774,14.7434,1.737,False,1.7579,1.4336153598306027,0.06,CV
CCCCCC1OC1,False,True,-2.5258,14.45,1.7407,False,1.9655,1.022857948105685,0.07,CV
FC(C(C(F)(F)F)(C(F)(F)F)C1OC1)(F)F,True,False,-2.1393,16.1914,1.727,False,3.0585,3.6721365693475567,0.46,CV
[C@H]1(C2=CC=CC=C2)O[C@H]1C3=CC=CC=C3,False,False,-2.9385,17.1309,1.738,False,3.4992,2.6288100733737916,0.25,CV
FCC1OC1,False,False,-3.5412,13.2824,1.7419,False,0.3547,0.16447884895199508,0.1,Test
C[C@H]1O[C@@H]1C,False,False,-2.8362,14.7647,1.743,False,0.7936,0.9507971008897599,0.16,Test
CC(C)(C)C1OC1,False,False,-2.4475,15.3738,1.74,False,1.4313,1.7000467582864736,0.15,Test
C1(C2(C3=CC=CC=C3)OC2)=CC=CC=C1,False,False,-3.5107,18.6022,1.741,True,2.9604,3.9847902361103236,0.55,Test
